cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FAIRFIELD INN SPRINGDALE",112.61,03-MAR-16,"SPRINGDALE","AR","72762","TRAVEL","X","","SB23","1066253","SB23CCUV.10279","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FAIRFIELD INN SPRINGDALE",112.61,03-MAR-16,"SPRINGDALE","AR","72762","TRAVEL","X","","SB23","1066253","SB23CCUV.10280","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FAIRFIELD INN SPRINGDALE",112.61,03-MAR-16,"SPRINGDALE","AR","72762","TRAVEL","X","","SB23","1066253","SB23CCUV.10281","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","PANERA BREAD- LITTLE ROCK",33.43,03-MAR-16,"LITTLE ROCK","AR","72205","FOOD/BEVERAGES","X","","SB23","1066253","SB23CCUV.9975","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","LOVE'S FLOWER SHOP",121,09-DEC-15,"DARDENVILLE","AR","72834","FLORAL SERVICE","X","","SB23","1057556","SBCCUV45.9172","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","REPUBLICAN PARTY OF ARKANSAS",25000,23-OCT-15,"LITTLE ROCK","AR","72201","BALLOT ACCESS FEE","","","SB23","1057556","SB23.90113","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ALICE STEWART LLC",18243.57,09-MAR-16,"LITTLE ROCK","AR","72223","POLITICAL STRATEGY CONSULTING/TRAVEL","","","SB23","1066253","SB23.969","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HOLIDAY INN- SPRINGDALE",135.36,03-MAR-16,"SPRINGDALE","AR","72764","TRAVEL","X","","SB23","1066253","SB23CCUV.10275","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HOLIDAY INN- SPRINGDALE",270.72,03-MAR-16,"SPRINGDALE","AR","72764","TRAVEL","X","","SB23","1066253","SB23CCUV.10389","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FLOWER SHOP NETWORK",91.29,05-JAN-16,"PARAGOULD","AR","72451","FLORAL SERVICE","X","","SB23","1051537","SBCCUV23.4631","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ARKANSAS GRAPHICS INC",437.99,05-JAN-16,"LITTLE ROCK","AR","72201","PRINTING","X","","SB23","1051537","SBCCUV23.4738","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DOUBLETREE",390.87,27-JAN-16,"LITTLE ROCK","AR","72201","TRAVEL","X","","SB23","1051537","SB23EXP.8792","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BYLITES",1852,05-JAN-16,"LITTLE ROCK","AR","72202","STAGING/LIGHTING/EQUIPMENT RENTAL","","","SB23","1051537","SB239.90486","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","APOSTOLIC CHURCH",943,19-JAN-16,"NORTH LITTLE ROCK","AR","72117","FACILITY RENTAL/PERSONNEL SERVICE/EQUIPM","","","SB23","1051537","SB239.90175","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CONFETTI'S PARTY RENTAL",550.25,05-JAN-16,"LITTEL ROCK","AR","72204","EVENT SUPPLIES/EQUIPMENT RENTAL","X","","SB23","1051537","SBCCUV23.4620","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DOUBLETREE",384.87,04-JAN-16,"LITTLE ROCK","AR","72201","TRAVEL","X","","SB23","1051537","SB23EXP.8791","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","KOUNTRY XPRESS",52.53,03-SEP-15,"MULBERRY","AR","72947","TRAVEL","X","","SB23","1053893","SBCCUV1.10061","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CHILI'S GRILL- -VAN BUREN",227.77,03-SEP-15,"VAN BUREN","AR","72956","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9269","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","WALMART- LITTLE ROCK",20.63,03-SEP-15,"LITTLE ROCK","AR","72202","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9337","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ALICE STEWART LLC",20500,10-FEB-16,"LITTLE ROCK","AR","72223","POLITICAL STRATEGY CONSULTING","","","SB23","1056882","SB23.1598","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ENVATO",34,06-NOV-15,"VICTORIA","AU","","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9569","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ENVATO",63,09-DEC-15,"VICTORIA","AU","","LICENSING FEE","X","","SB23","1057556","SBCCUV45.9449","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SCHLUM, TIMOTHY",208.32,27-JAN-16,"FOUNTAIN HILLS","AZ","85268","TRAVEL- MILEAGE","","","SB23","1051537","SB239.90610","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",452.2,31-AUG-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SB23UV.4553","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",175.1,31-AUG-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1053893","SB23UV.4555","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JW MARRIOTT",415,31-JUL-15,"PHOENIX","AZ","85054","TRAVEL","X","","SB23","1053893","SB23UV.4588","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GROUT, CAROLYN",300,10-JUL-15,"TUSCON","AZ","857103217","IN-KIND CONTRIBUTION","","IN KIND: CLOTHING","SB23","1053893","SB23.383393","P2016",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CROSSROADS 12 CINEMA",33.84,03-FEB-16,"CHANDLER","AZ","85286","TICKETS","X","","SB23","1056882","SB23UV3.4634","",
